,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
116,0.006183672,0.000403258,0.002194023,0.000384696,10,4,auto,linear,"{'C': 10, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.683673469,0.765306122,0.72244898,0.036734694,8
120,0.007371664,0.001346603,0.002199221,0.000382961,50,2,scale,linear,"{'C': 50, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
124,0.006791306,0.000389207,0.002585316,0.000792639,50,2,auto,linear,"{'C': 50, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
128,0.006387138,0.001009637,0.002787542,0.000745398,50,3,scale,linear,"{'C': 50, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
132,0.00697732,1.19E-05,0.002398205,0.000484666,50,3,auto,linear,"{'C': 50, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
136,0.006577635,0.000482904,0.002797985,0.000974138,50,4,scale,linear,"{'C': 50, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
140,0.006188345,0.000410868,0.002383614,0.000488122,50,4,auto,linear,"{'C': 50, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
144,0.007785177,0.000742203,0.002194262,0.00039835,100,2,scale,linear,"{'C': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
148,0.006782913,0.000399455,0.002392864,0.000486013,100,2,auto,linear,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
152,0.006964779,1.49E-05,0.002408934,0.000486272,100,3,scale,linear,"{'C': 100, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
156,0.00658288,0.000489139,0.002393103,0.00048815,100,3,auto,linear,"{'C': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
160,0.006776237,0.000753533,0.002796602,0.000754905,100,4,scale,linear,"{'C': 100, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
164,0.00679183,0.000749132,0.002383995,0.000475634,100,4,auto,linear,"{'C': 100, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.714285714,0.765306122,0.673469388,0.765306122,0.720408163,0.039043115,14
0,0.006581926,0.000488636,0.002992582,0.000630826,0.5,2,scale,linear,"{'C': 0.5, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
4,0.005385542,0.000488792,0.002393675,0.000488461,0.5,2,auto,linear,"{'C': 0.5, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
8,0.005983686,1.59E-05,0.002188253,0.000388243,0.5,3,scale,linear,"{'C': 0.5, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
12,0.005187368,0.000398728,0.002591372,0.000477879,0.5,3,auto,linear,"{'C': 0.5, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
16,0.005973577,1.22E-05,0.002398205,0.000483068,0.5,4,scale,linear,"{'C': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
20,0.005590582,0.000482214,0.002388,0.000470517,0.5,4,auto,linear,"{'C': 0.5, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.724489796,0.683673469,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
48,0.005179882,0.000402155,0.002207613,0.000393147,2,2,scale,linear,"{'C': 2, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
51,0.006979084,1.92E-05,0.002586174,0.000793713,2,2,scale,sigmoid,"{'C': 2, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.724489796,0.693877551,0.714285714,0.734693878,0.734693878,0.720408163,0.015272071,26
52,0.005185509,0.000397516,0.002403736,0.000793539,2,2,auto,linear,"{'C': 2, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.704081633,0.744897959,0.720408163,0.023799804,26
